date,photon_density
2019-08-28 09:09:32,3.1207
2019-08-28 09:10:36,2.9747
2019-08-28 09:11:40,3.3127
2019-08-28 09:12:44,3.2898
2019-08-28 09:13:48,3.4374
2019-08-28 09:14:52,3.3155
2019-08-28 09:15:56,3.2545
2019-08-28 09:17:00,3.3406
2019-08-28 09:18:04,3.3589
2019-08-28 09:19:08,3.1268
2019-08-28 09:20:12,3.4683
2019-08-28 09:21:16,3.1068
2019-08-28 09:22:20,3.2273
2019-08-28 09:23:24, 3.231
2019-08-28 09:24:28,3.2099
2019-08-28 09:25:32,3.4166
2019-08-28 09:26:36,3.0074
2019-08-28 09:27:40,3.3751
2019-08-28 09:28:44,3.4844
2019-08-28 09:29:48,3.0227
2019-08-28 09:30:52,3.3375
2019-08-28 09:31:56,3.6148
2019-08-28 09:33:00,3.4886
2019-08-28 09:34:04, 3.559
2019-08-28 09:35:08,3.6218
2019-08-28 09:36:12,3.7334
2019-08-28 09:37:16,3.8096
2019-08-28 09:38:20,3.7046
2019-08-28 09:39:24,3.7626
2019-08-28 09:40:28,   NaN
2019-08-28 09:41:32,3.5223
2019-08-28 09:42:36,3.5423
2019-08-28 09:43:40,3.8037
2019-08-28 09:44:44,3.6352
2019-08-28 09:45:48,3.6693
2019-08-28 09:46:52,3.6258
2019-08-28 09:47:56,3.6927
2019-08-28 09:49:00,3.5939
2019-08-28 09:50:04,3.6158
2019-08-28 09:51:08,3.6344
2019-08-28 09:52:12,3.7024
2019-08-28 09:53:16,3.5031
2019-08-28 09:54:20,3.6969
2019-08-28 09:55:24,3.5886
2019-08-28 09:56:28,3.0653
2019-08-28 09:57:32,3.3269
2019-08-28 09:58:36,3.2912
2019-08-28 09:59:40,3.6417
2019-08-28 10:00:44,3.7845
2019-08-28 10:01:48,3.8996
2019-08-28 10:02:52,3.8812
2019-08-28 10:03:56,3.5837
2019-08-28 10:05:00,3.5503
2019-08-28 10:06:04,3.6536
2019-08-28 10:07:08,3.6117
2019-08-28 10:08:12,3.6517
2019-08-28 10:09:16,3.5872
2019-08-28 10:10:20,3.3647
2019-08-28 10:11:24,3.2965
2019-08-28 10:12:28,3.2489
2019-08-28 10:13:32,   NaN
2019-08-28 10:14:36,3.4985
2019-08-28 10:15:40,3.5409
2019-08-28 10:16:44,3.4646
2019-08-28 10:17:48,3.4858
2019-08-28 10:18:52,3.4729
2019-08-28 10:19:56,3.4664
2019-08-28 10:21:00,3.6682
2019-08-28 10:22:04,3.7204
2019-08-28 10:23:08,3.4886
2019-08-28 10:24:12,3.4615
2019-08-28 10:25:16,3.4339
2019-08-28 10:26:20,3.3862
2019-08-28 10:27:24,3.4626
2019-08-28 10:28:28,3.3188
2019-08-28 10:29:32,3.3548
2019-08-28 10:30:36,3.5431
2019-08-28 10:31:40,3.3783
2019-08-28 10:32:44,3.4005
2019-08-28 10:33:48,3.5096
2019-08-28 10:34:52,3.4172
2019-08-28 10:35:56,3.2928
2019-08-28 10:37:00,3.5164
2019-08-28 10:38:04, 3.179
2019-08-28 10:39:08, 3.562
2019-08-28 10:40:12,3.4091
2019-08-28 10:41:16,3.5931
2019-08-28 10:42:20,   3.9
2019-08-28 10:43:24,  3.69
2019-08-28 10:44:28,3.7745
2019-08-28 10:45:32,3.7843
2019-08-28 10:46:36,   NaN
2019-08-28 10:47:40,3.4941
2019-08-28 10:48:44,3.3592
2019-08-28 10:49:48,3.5402
2019-08-28 10:50:52,3.5306
2019-08-28 10:51:56, 3.033
2019-08-28 10:53:00,3.2804
2019-08-28 10:54:04,3.1531
2019-08-28 10:55:08,3.1135
2019-08-28 10:56:12, 3.023
2019-08-28 10:57:16,3.3125
2019-08-28 10:58:20,3.6346
2019-08-28 10:59:24,3.6963
2019-08-28 11:00:28,3.6097
2019-08-28 11:01:32,3.8111
2019-08-28 11:02:36,3.7291
2019-08-28 11:03:40,4.1083
2019-08-28 11:04:44,3.6352
2019-08-28 11:05:48,3.5766
2019-08-28 11:06:52,3.5386
2019-08-28 11:07:56,3.6231
2019-08-28 11:09:00,3.8291
2019-08-28 11:10:04,3.7738
2019-08-28 11:11:08,3.8275
2019-08-28 11:12:12,3.6594
2019-08-28 11:13:16,3.8597
2019-08-28 11:14:20,4.3413
2019-08-28 11:15:24,4.3346
2019-08-28 11:16:28,3.7986
2019-08-28 11:17:32,4.1324
2019-08-28 11:18:36,4.3812
2019-08-28 11:19:40,   NaN
2019-08-28 11:20:44,4.1887
2019-08-28 11:21:48,4.1325
2019-08-28 11:22:52,3.8637
2019-08-28 11:23:56,3.9087
2019-08-28 11:25:00,3.7624
2019-08-28 11:26:04,3.7404
2019-08-28 11:27:08,3.9293
2019-08-28 11:28:12,3.5319
2019-08-28 11:29:16,3.6449
2019-08-28 11:30:20,3.7554
2019-08-28 11:31:24,4.1559
2019-08-28 11:32:28,3.8169
2019-08-28 11:33:32, 3.542
2019-08-28 11:34:36,3.4539
2019-08-28 11:35:40,3.3768
2019-08-28 11:36:44,3.3883
2019-08-28 11:37:48,3.3661
2019-08-28 11:38:52,3.4257
2019-08-28 11:39:56,3.4118
2019-08-28 11:41:00,3.7363
2019-08-28 11:42:04,3.4497
2019-08-28 11:43:08, 3.513
2019-08-28 11:44:12,3.0439
2019-08-28 11:45:16, 3.162
2019-08-28 11:46:20, 3.283
2019-08-28 11:47:24,3.1526
2019-08-28 11:48:28,2.9552
2019-08-28 11:49:32,2.8605
2019-08-28 11:50:36,2.8536
2019-08-28 11:51:40,2.7407
2019-08-28 11:52:44,   NaN
2019-08-28 11:53:48,2.9074
2019-08-28 11:54:52, 3.097
2019-08-28 11:55:56,3.4729
2019-08-28 11:57:00,3.4958
2019-08-28 11:58:04,3.3416
2019-08-28 11:59:08,3.5285
2019-08-28 12:00:12, 3.105
2019-08-28 12:01:16, 2.965
2019-08-28 12:02:20,2.7254
2019-08-28 12:03:24,2.7787
2019-08-28 12:04:28,2.5208
2019-08-28 12:05:32,2.6201
2019-08-28 12:06:36,2.4526
2019-08-28 12:07:40,2.7864
2019-08-28 12:08:44,3.0713
2019-08-28 12:09:48, 2.672
2019-08-28 12:10:52,2.6686
2019-08-28 12:11:56,3.0316
2019-08-28 12:13:00,3.1654
2019-08-28 12:14:04,3.0272
2019-08-28 12:15:08,3.2567
2019-08-28 12:16:12,3.0496
2019-08-28 12:17:16,3.2696
2019-08-28 12:18:20,3.1524
2019-08-28 12:19:24,2.9892
2019-08-28 12:20:28,3.1261
2019-08-28 12:21:32,3.1521
2019-08-28 12:22:36,3.0758
2019-08-28 12:23:40,3.2026
2019-08-28 12:24:44,3.1539
2019-08-28 12:25:48,   NaN
2019-08-28 12:26:52,3.3121
2019-08-28 12:27:56,3.1978
2019-08-28 12:29:00,   NaN
2019-08-28 12:30:04,   NaN
2019-08-28 12:31:08,3.3158
2019-08-28 12:32:12,3.1718
2019-08-28 12:33:16,2.9225
2019-08-28 12:34:20,3.0898
2019-08-28 12:35:24,2.8021
2019-08-28 12:36:28,3.0302
2019-08-28 12:37:32,3.2454
2019-08-28 12:38:36,3.2843
2019-08-28 12:39:40,3.2417
2019-08-28 12:40:44,3.2836
2019-08-28 12:41:48,3.3644
2019-08-28 12:42:52,3.2941
2019-08-28 12:43:56,2.8198
2019-08-28 12:45:00,3.4739
2019-08-28 12:46:04,3.1044
2019-08-28 12:47:08,3.2953
2019-08-28 12:48:12,3.5055
2019-08-28 12:49:16,3.0687
2019-08-28 12:50:20,3.1818
2019-08-28 12:51:24,3.1385
2019-08-28 12:52:28,3.2445
2019-08-28 12:53:32,3.1848
2019-08-28 12:54:36,3.3183
2019-08-28 12:55:40,3.3443
2019-08-28 12:56:44,3.2827
2019-08-28 12:57:48,2.9104
2019-08-28 12:58:52,   NaN
2019-08-28 12:59:56,2.8348
2019-08-28 13:01:00,3.0265
2019-08-28 13:02:04,2.8716
2019-08-28 13:03:08,2.8016
2019-08-28 13:04:12, 2.962
